83.25, 99.,  99.,  99.5, 99.75,   98.5, 100.,  99., 100., 100. ,  100., 100., 100.,  98.,  99.75,    99.5       
100.,  87.,  99.25, 99.5, 99.75,   98.25,       100.,  99., 100., 100. ,  100., 100., 100.,  98.,  99.5,   99.5       
100.,  99.,  72.,  99.25,       100. ,   98.25,       100.,  99., 100., 100. ,  100., 100., 100.,  98.,  99.75,   99.5       
100.,  99.,  99.25, 85.25, 99.75,   98.5, 100.,  99., 100., 100. ,  100., 100., 100.,  98.,  99.75,   99.5       
 100.,  99.,  99.25, 99.5, 71.75,   98., 100.,  99., 100., 100. ,  100., 100., 100.,  97.25, 99.75,   99.25      
 100.,  99.,  99.,  99.25,       100. ,   80., 100.,  99., 100., 100. ,  100., 100., 100.,  98.,  99.75,   99.5       
 100.,  98.,  99.,  99.25,       100. ,   98.5, 75.25, 99., 100., 100. ,  100., 100., 100.,  97.75, 99.75,   99.25      
 100.,  99.,  99.25, 99.5, 99.75,   98.25,       100.,  90.5, 100., 100. ,  100., 100., 100.,  98.5, 99.75,   99.25      
 100.,  99.,  98.75, 99.5, 100. ,   98.25,       100.,  99.,  87.5, 100.,  100., 100., 100.,  98.,  99.75,   99.5       
 100.,  99.,  99.25, 99.5, 100. ,   98.25,       100.,  99., 100.,  93. ,  100., 100., 100.,  98.,  99.75,   99.5       
 100.,  99.,  99.25, 99.25, 99.75,   98.25,       100.,  99., 100., 100.,   89.25,       100., 100.,  97.75, 99.5,  99.5       
 100.,  99.,  99.25, 99.5, 99.75,   98.25,       100.,  99., 100., 100.,  100.,  90., 100.,  98.,  99.75,   99.5       
 100.,  99.,  99.25, 99.25,       100. ,   98.25,       100.,  99., 100., 100. ,  100., 100.,  83.33333333,  97.5, 99.5,   99.5       
 100.,  99.,  99.5, 99.5, 100. ,   98.25,       100.,  99., 100., 100. ,  100., 100., 100.,  91.,  99.5,   99.25      
 100.,  99.,  99.25, 99.25,       100. ,   98.25,       100.,  99., 100., 100. ,  100., 100., 100.,  97.25, 85.75,   99.25      
 100.,  99.,  99.,  99.5, 100. ,   98.25,       100.,  99., 100., 100. ,  100., 100., 100.,  97.5, 99.75,   76.75      
